Japanese,Vietnamese
何か私にできることがありましたらお知らせ下さい。,cần gì thì cứ việc nói với tôi .
私はこの天気が大嫌いだ。,tôi rất ghét cái thời tiết này .
私はひらめきを失った。,tôi đã mất hưng .
彼は全力を尽くしたが、すぐにあんな早いランナーには勝てないことがわかった。,anh ta đã nỗ lực hên mình nhưng ngay sau đó nhận ra mình không thể thắng người chạy đó với tốc độ nhanh như thế kia được .
バスに傘を忘れるとは彼女はそそっかしい。,cô đã bất cẩn để quên chiếc ô trên xe buýt .
彼女は誕生日プレゼントにアルバムをくれた。,chị ấy cho tôi một anbum ảnh làm quà sinh nhật .
マイクさんいらっしゃいますか。,có Mike ở đó không ?
健康が私にとってすべてです。,sức khỏe là tất cả đối với tôi .
心はあなたと共に居ます。,tôi sẽ đồng tâm với bạn .
彼女はすぐに結婚したかった。,cô ấy đã muốn kết hôn ngay lập tức .
人ごみは大嫌い。,tôi ghét những lúc đông người .
「僕のこと嫌い？」「ううん」「じゃあ好き？」「なんで聞くの？」," em có ghét anh không ?  - "" Không "" - "" Vậy là thích anh chứ gì ? "" - "" Tự nhiên hỏi làm gì ? """
いびきをかくことは認めるよ・・・。,tôi phải nhận là tôi có ngáy ...
何かこのひもを切るものを貸して下さい。,cho tôi mượn cái gì đấy để cắt sợi dây này .
船は明日の朝ホノルルを出る。,con Tàu sẽ rời khỏi Honolulu vào ngày mai
雪で何も見えなかった。,chúng tôi đã chẳng thể nhìn được gì vì tuyết rơi
トランプを樫のテーブルに置いて。,làm ơn để bộ bài trên bàn gỗ sồi .
トムは一人でいるのが好きだ。,tôm thích ở một mình .
喉が渇いた。,tôi khát nước .
彼は急いで空港にいった。,anh ta gấp rút đến phi trường .
我々はお互いに身振りで意見を伝えあった。,chúng tôi truyền đạt ý tưởng cho nhau bằng cử chỉ .
私の車は、昨日故障したのだが、まだ修理できていない。,xe của tôi bị hư từ hôm qua đến giờ vẫn chưa sửa được .
欲しいものがみつかると、決まって高いものだ。,hễ tôi kiếm được cái gì tôi thích thì nó lại đắt quá .
気がのらない。,bây giờ tôi không có hứng .
私は車の運転方法を知らない。,tôi không biết lái xe .
彼女は私たちの提案を拒絶した。,cô ta từ chối đề án của chúng tôi .
私は学生の頃、よくあのピザ店へ行ったものだった。,hồi còn đi học tôi hay đến tiệm pizza đó .
その病院は先月開業した。,bệnh viện đó bắt đầu hoạt động từ tháng trước .
あなたが欲しいだけ取りなさい。,cứ lấy bao nhiêu bạn muốn .
もっと時間が必要だ。,tôi cần thêm thì giờ .
探す人が、見つけるのだ。,tìm thì sẽ thấy .
少しめまいがするので、私はしばらく腰を下ろした。,"cảm thấy hơi chóng mặt , tôi đã ngồi xuống một lúc ."
大好き。,mình rất thích bạn .
私達はその計画を実行した。,chúng tôi thực hiện kế hoạch đó .
誰が次に行きたいですか。,ai muốn đi tiếp theo ?
先生は横になっているように言われた。,bác sĩ bảo tôi nằm xuống .
ガスの火を大きくしてください。,xin hãy bật ga lớn lên .
それは僕自身でやりたい。,tôi muốn tự mình làm chuyện đó .
外国語がとっても楽しいと分った。,tôi thấy ngoại ngữ rất thú vị .
その噂は本当だと信じられている。,người ta tin rằng lời đồn đại này là thật .
彼女はだいたい私と同じ年頃だ。,cô ấy tuổi cỡ ngang tôi .
驚かない所をみると知ってたのね。,"anh có vẻ không bất ngờ nhỉ , chắc anh đã biết cả rồi ."
今朝トムからメールが来ました。,sáng nay tôi nhận được thư của Tom .
くじで誰が勝つか決めよう。,chúng ta hãy bỏ phiếu để quyết định người thắng cuộc .
田中さんは私たちの友人です。,ông Tanaka là một trong những người bạn của chúng tôi .
生物学の先生がSoniaと言います。,cô giáo môn sinh học tên là Sonia .
トムはメアリーにもらった鍵でドアを開けた。,Tom dùng chìa khóa Mary đưa cho để mở cửa .
君静かにしろよ。,mày im ngay .
心配しないで。,đừng lo .
必ずドアに鍵を掛けるようにして下さい。,hãy chắc chắn rằng cửa đó đã đóng rồi .
京都を訪問すべきだよ。古いお寺や神社で有名だから。,"bạn nên đến Tokyo , nơi nổi tiếng với những địa danh như ngôi chùa cổ , đền Shinto ..."
分かった！,hiểu rồi !
この辺は全く不案内です。,tôi không rành nơi này lắm .
私はもっと自立したいと思っている。,tôi muốn tự lập hơn .
私たちはそのとき急いでいた。,lúc đó chúng tôi đang rất vội .
哲学は難しいと見なされることが多い。,triết học thường được xem là khó .
その老人は先週なくなりました。,ông lão đó đã qua đời tuần trước .
良い考えだね！,ý định tốt !
彼はたくさんの物語を書いた。,anh ta đã viết nhiều câu chyện .
すみません、お塩を取っていただけませんか？,làm phiền bạn lấy giùm tôi lọ muối được không ?
みんなから近寄りがたいってよく言われます。,mọi người thường nói tôi khó gần .
そうか？,vậy hả ?
彼女は日本語を勉強しようと日本に来た。,cô ấy đến Nhật để học Nhật ngữ .
Wang氏は中国出身だ。,ngài Wang đến từ Trung Quốc
おなか空いた！,tôi đói quá rồi !
この靴は私の足に合わない。,đôi dép này không vừa chân tôi .
チャンスを最大限に活用してみるべきだ。,bạn nên cố tận dụng tối đa những cơ hội mà mình có .
彼の悲観論は周囲の人々滅入らせた。,sự bi quan của anh ta làm suy sút tinh thần những người xung quanh .
この靴はいくらですか？,đôi giày này bao nhiêu tiền vậy ?
お誕生日おめでとうムーリエル！,"chúc mừng sinh nhật , Muiriel !"
こんなに明らかなことをわざわざどうやって説明したらいいのか分からない。,"tôi không biết phải trình bày thế nào , bởi vì nó đã quá rõ ràng rồi ."
猫が机の上に座る。,con mèo ngồi ở trên bàn
私はもっと一生懸命勉強するように弟を説得した。,tôi đã thuyết phục em trai cố gắn học hơn nữa .
私はカメラマンです。,tôi là một nhiếp ảnh gia .
今日の朝も子供の泣き声で目が覚めた。,hôm nay cũng vì tiếng trẻ con khóc mà dậy .
とにかく誰かをぶたないと気が済まない。,tôi muốn đấm ai đó cho thỏa thích .
今年、注目している選手は誰ですか。,"năm nay , tuyển thủ đang được chú ý là ai vậy ?"
彼女はそのことについて話したくないんだよ。,cô ấy không muốn nói về chuyện đấy .
アメリカでは多くの人が家の回りにフェンスをめぐらせている。,ở Mỹ có nhiều nhà có hàng rào xung quanh .
学校は好き？,cậu có thích trường học không ?
会社の帳簿を付けるのに２、３日かかります。,tôi đã phải mất nhiều ngày để quyết toán sổ sách của công ty .
私は今ギターをひいています。,tôi đang chơi guitar .
彼に何も言わなかったの？,bạn không nói với anh ấy cái gì à ?
また後でかけ直していただけませんか？,bạn có thể gọi lại được không ?
君には何が起こるか分かるんじゃないかと思うけどね。,chắc bạn cũng đoán được cái gì xảy ra mà .
結婚の利益は、女性の本質を知ることであり、結婚の損失は、女性への幻滅を知ることである。それ故に結婚しない小説家は、未だ女を書くことが出来ない。結婚した詩人は、もはや女を歌うことができない。,"sự được mất của kết hôn là thấu hiểu được , đồng thời là vỡ mộng , về bản chất của phụ nữ . bởi vậy những tiểu thuyết gia còn độc thân chẳng biết viết gì về phụ nữ , còn những thi sĩ đã lập gia đình chẳng buồn ngợi ca phụ nữ nữa ."
失礼ですが、この席は空いていますか。,cho hỏi chỗ này có ai ngồi chưa ?
電車が停まるまで開けないで。,đừng mở trước khi xe lửa ngừng lại .
とにかく誰かをぶたないと気が済まない。,tôi muốn đấm ai đó cho thỏa thích .
私の弟は上手にギターを弾けます。,em trai tôi chơi ghi - ta rất giỏi .
子供達の中の１人は勉強していますが他の子供達は全員遊んでいます。,trong đám trẻ chỉ có 1 đứa đang học còn lại thì lo chơi .
彼はまるで何日間も食べていないかのように見えた。,nhìn anh ta như thể đã không ăn gì trong nhiều ngày .
公園にたくさんのアベックがいた。,có rất nhiều cặp tình nhân ở công viên .
母は変わり者です。,mẹ tôi là người lập dị .
何を作ったの？,bạn tạo ra cái gì vậy ?
探す人が、見つけるのだ。,tìm thì sẽ thấy .
それは私じゃないよ、理事長！,"sếp à , không phải tôi đâu !"
信じられない！,tôi không tin !
君が来るかどうかは私にとってはどうでもよいことだ。,bạn có đến hay không đối với tôi không quan trọng .
眠った方がいいよ。,bạn nên đi ngủ đi .
私は毎日６時に起きる。,mỗi ngày tôi dậy lúc 6 giờ .
その会社は高品質の製品で知られている。,công ty đó được biết đến qua các sản phẩm chất lượng cao của họ .
１１時の列車に乗るつもりです。,tôi tính đi chuyến tàu 11 giờ .
何をしてたと思う？,bạn nghĩ tôi đang làm gì ?
彼はかなりうまく英語を話す。,anh ta nói tiếng Anh khá tốt .
一人で旅行するのが好きです。,tôi thích đi du lịch một mình .
彼の反抗的な態度に上司は腹を立てた。,thái độ thách đố của anh ta khiến thủ trưởng tức giận .
そのことを決めるのは君の役目だ。,quyết định điều đó là trách nhiệm của bạn .
分からない言葉がたくさんある。,có nhiều chữ tôi không hiểu .
その少女はサンタクロースがいると今も信じている。,cô ấy vẫn còn tin vào ông già Noel .
彼女はお母さんの手伝いをすべきだ。,cô ta nên phụ giúp mẹ mình .
まず京都にいく。,"đầu tiên , chúng ta sẽ đi đến Kyoto ."
明日までにパーティーの準備を終えなければなりません。,cho đến sáng mai phải chuẩn bị xong bữa tiệc .
彼女は短編小説作家です。,bà ấy viết truyện ngắn .
「信用して」と彼は言った。," tin tôi đi ,  anh ấy nói ."
シェイクスピアは、イギリスが生んだ最大の詩人です。,Shakespeare là nhà thơ vĩ đại nhất mà nước Anh có được .
彼の父親は医者ですか。,cha của anh ta có phải là bác sĩ không ?
こっちに明かりをむけてくれないか。,xoay đèn lại hướng này giùm .
彼女の思考回路がまったく理解できない。,tôi hoàn toàn không thể hiểu nổi cách suy nghĩ của cô ấy .
これは私の自動車です。,đây là xe hơi của tôi .
驚くじゃありませんか！,anh làm tôi bàng hoàng !
心配しないで。,đừng lo .
その少女はお母さんに似ている。,cô ta trông giống mẹ .
彼らは物質的にも精神的にも彼を支えた。,họ đã hỗ trợ cho ông cả vật chất lẫn tinh thần .
パリへの最短経路に従って,theo con đường ngắn nhất để tới Paris .
私は子供のころから冒険が好きだった。,từ thuở còn nhỏ tôi đã thích phiêu lưu .
彼女は彼が困っている時はいつでも彼を助けた。,cô ấy luôn giúp đỡ anh ta bất cứ lúc nào anh ta gặp khó khăn .
彼は本当に美しい体形だ。,anh ta có một cơ thể thật đẹp .
ケイトは傘を持って学校に行ったが、ブライアンは持っていなかった。,Kate mang dù đến trường còn Brian thì không .
彼はその薬を飲んだためにかえっていっそう病気が悪くなった。,uống thuốc xong bệnh tình anh ta ngược lại còn xấu đi nhiều .
皆が私のうっかりした間違いを責めるのです。,mọi người khiển trách sai lầm của tôi .
良い考えだね！,ý định tốt !
私たちの学校の図書館には本がたくさんある。,thư viện trường ta có rất nhiều sách .
明日天気はどうでしょうか。,thời tiết ngày mai thế nào ?
かくれんぼしよう。,chơi trốn tìm đi .
このスープの味はどうですか。,súp có ngon không ?
あなたはすぐに新しい大学生活に慣れるだろう。,bạn chắc sẽ quen với cuộc sống mới ở đại học ngay thôi .
明日授業があります。,tôi có lớp ngày mai .
君には何が起こるか分かるんじゃないかと思うけどね。,chắc bạn cũng đoán được cái gì xảy ra mà .
彼らはどこから来たの。,họ đến từ đâu vậy ?
あなたが帰国なさる頃には、桜はみんな散ってしまっていることでしょう。,lúc bạn trở về quê nhà có lẽ cũng là lúc cánh hoa anh đào rụng rơi hết .
彼の悲しい話は私の心を感動させた。,câu chuyện buồn của anh ấy khiến tôi mủi lòng .
青が好きだ。,mình thích màu xanh .
彼はその家から出てくるところを見られた。,anh ta có thể bị nhìn thấy khi ra khỏi nhà .
ありがとうございます！,cám ơn bạn nhiều nghe !
私が金のネックレスを彼女の誕生日プレゼントに買ったことはエリザベスには言わないで下さい。,xin đừng tiết lộ với Elizabeth là tôi đã mua cho cô ấy sợi dây chuyền vàng tặng sinh nhật của cô ấy nhé .
黒猫は好き？,cậu có thích mèo đen không ?
仕事中です。,tôi đang làm việc .
彼女の思考回路がまったく理解できない。,tôi hoàn toàn không thể hiểu nổi cách suy nghĩ của cô ấy .
ライオンはオオカミより強いです。,sư tử khỏe hơn chó sói .
私は６時間ごとに薬を飲まないといけない。,cứ sáu giờ tôi phải uống thuốc một lần .
授業の最後、先生は言った。「今日は良くできました。」,"cuối tiết học , giáo viên nói : "" hôm nay đủ rồi . """
洗ったあと引っ張って形にして。,xếp gọn gàng sau khi giặt xong .
僕はあまりに疲れていたので昼休みにひと眠りした。," đang lúc ăn chưa , tôi ngủ một hồi tại vì mệt quá ."
水は摂氏１００度で沸騰する。,nước sôi ở 100 độ C.
明日図書館で勉強するつもりです。,ngày mai tôi sẽ học ở thư viện .
赤外線や紫外線は、人の目には見えない光である。,tia tử ngoại và tia hồng ngoại là loại ánh sáng mắt người không nhìn thấy được .
彼は私の助言を求めた。,anh ấy xin lời khuyên của tôi .
雨はいつ降り始めましたか。,khi nào mưa vậy ?
「ありがとう。」「どういたしまして。」," cám ơn .  "" không có chi . """
時間が短いので、プログラムからスピーチの一部を省かなければならない。,thời gian không còn nhiều nên chúng ta phải cắt bớt một đoạn diễn thyết của chương trình .
彼がどこに住んでいるか正確に教えてください。,xin hãy cho tôi biết địa chỉ chính xác nơi ở của anh ấy .
「おわったの。」「それどころかまだ始めていないよ。」," xong chưa vậy ?  "" tôi còn chưa bắt đầu nữa mà . """
逃げよう。サツが来てる。,mau rời khỏi đây . cảnh sát tới bây giờ .
その少年は注目されたくて髪を染めた。,chàng trai đó đã nhuộm tóc vì muốn được chú ý .
運転免許試験に合格して彼はみんなをびっくりさせた。,việc anh ấy thi đậu bằng lái xe làm mọi người rất ngạc nhiên
彼は完全に間違っていた。,anh ta hoàn toàn sai rồi .
やった！2回続けて勝っちゃった！,hay quá ! tôi thắng hai lần liền !
今日は６月１８日で、ムーリエルの誕生日です！,"hôm nay là ngày 18 tháng sáu , và cũng là ngày sinh nhật của Muiriel !"
彼は急いで空港にいった。,anh ta gấp rút đến phi trường .
中に入れて。,cho tôi vào .
１時間以内にそこに着くでしょう。,chúng ta chắc sẽ đến được đó trong khoảng 1 tiếng .
そのドレスを着たら、尻軽な女みたいね。,mặc cái váy đó trông bạn như gái gọi ấy .
私は家に帰る途中でにわか雨にあいました。,tôi gặp phải một cơn mưa rào khi đang đường về nhà .
電気をつけてくれ。私は全く何も見えない。,thắp đèn lên đi . tôi chẳng nhìn thấy gì cả !
今年、注目している選手は誰ですか。,"năm nay , tuyển thủ đang được chú ý là ai vậy ?"
此の状況を利用すべきだ。,chúng ta nên lợi dụng tình thế này .
私は今ギターをひいています。,tôi đang chơi guitar .
森に行ったら、子供くい鬼に気をつけてください！,vào rừng phải cẩn thận coi chừng quỷ ăn thịt trẻ em !
ウサギには長い耳と短い尾がある。,thỏ có tai dài và đuôi ngắn .
その会社は高品質の製品で知られている。,công ty đó được biết đến qua các sản phẩm chất lượng cao của họ .
彼女は君を嫌っているように見える。,có vẻ như cô ấy ghét cậu .
電車が通り過ぎる時、運転士の姿がちらりとトムの目に入った。,Tom lướt thấy trường tàu khi xe lửa băng qua .
つまらない試合に飽きてきた。,tôi nản cái trận đấu nhàm chán này lắm rồi .
私は眠らなければなりません。,tôi phải đi ngủ .
ＭＰ３プレーヤーがほしい！,tôi muốn có máy MP3 !
おめでとう！,chúc mừng !
彼らはフェンスを緑色に塗った。,anh ta sơn hàng rào màu xanh lá .
私の年収は５００万円を超している。,thu nhập hàng năm của tôi hơn 5 triệu yen .
飛行機のおかげで、人は早く、長い距離を旅行できる。,nhờ vào máy bay mà con người có thể di chuyển giữa các nơi xa xôi .
ご注目下さい。,hãy chú ý !
何と言ったらいいか・・・。,tôi không biết nên nói gì cả ...
彼女は、信じられないほどに世間知らずだ。,cô ta ngây thơ đến mức khó tin .
私は彼の言う事が全然わからなかった。,tôi không hiểu chút nào những gì anh ấy nói .
あんたのせいで食欲をなくしたよ。,nhờ ơn của bạn tôi hết còn thèm ăn .
分からない言葉がたくさんある。,có nhiều chữ tôi không hiểu .
友達も家族も皆死んでしまっています。,bạn bè và người thân của tôi đã qua đời hết .
なんでいつもいつも私の邪魔ばっかするの？,tại sao quanh năm suốt tháng cứ làm phiền tôi vậy ?
君はその法案に賛成なのか反対なのか。,anh có đồng ý với đề án đó không ?
子供達の教育にはかなりの額がかかった。,tôi đã khá tốn tiền học cho bọn trẻ .
ムーリエルは２０歳になりました。,bây giờ Muiriel được 20 tuổi .
それをあなたに説明することは私には無理です。,tôi không thế nào giải nghĩa cho bạn được .
事態はわれわれの冷静な判断を必要としている。,điều quan trọng là chúng ta phải xử lý tình huống một cách bình tĩnh .
気がのらない。,bây giờ tôi không có hứng .
私は彼の息子のだれにでも会ったことがない。,tôi chưa hề gặp ai trong số những người con trai của anh ta .
ひさしぶりだね。また転職したんだって？,lâu rồi không gặp . tao nghe nói mày đã thay đổi công việc nữa hả ?
馬鹿みたい！,bạn nhìn ngốc quá .
ほぼ終わった。,tôi sắp xong rồi .
彼女はお母さんの手伝いをすべきだ。,cô ta nên phụ giúp mẹ mình .
ファストフードはもう飽きた。,tôi ngán thức ăn nhanh quá rồi .
元気そうだね。,bạn trông khỏe nhỉ .
犬はどこだろう？,con chó đâu rồi ?
私が駅を出た時、男の人を見た。,"khi tôi ra khỏi ga xe lửa , tôi gặp một gã đàn ông ."
あなたはどこの国の出身ですか。,bạn đến từ nước nào vậy ?
あなたが女の子だからよ。,cái đó tại vì bạn là đàn bà .
またいつか風のように走るんだ。,sẽ có một ngày tôi sẽ chạy nhanh như gió .
彼女は要求されたようにその名と住所を書き留めた。,cô ấy đã ghi chép tên và địa chỉ theo yêu cầu
彼女はそのことについて話したくないんだよ。,cô ấy không muốn nói về chuyện đấy .
座りなよ。,cứ ngồi nhé .
私は彼を日本で最高の現代の作曲家の一人だと評価している。,tôi đánh giá ông là một trong số các nhà soạn nhạc hiện đại nhất tại Nhật Bản .
私は何十回もそこへ行きました。,tôi đã đến đó cả chục lần .
